numero;ville_etab
1236;Saint-Maximin
1237;Treffiagat
1238;Valdeblore
1239;Maule
1240;Bouxwiller
1241;Nangis
1242;Marcy-l'Etoile
1243;Azay-le-Rideau
1244;Ploufragan
1245;Saint-Chamas
1246;Lognes
1247;Mornand-en-Forez
1248;Rives de l'Yon
1249;Fès
1250;CASABLANCA
1251;Yerres
1252;L'Union
1253;Taiarapu-o
1254;
