i,pct_f,type
1186,71.0,3.0
1187,27.0,3.0
1188,69.0,7.0
1189,0.0,4.0
1190,75.0,7.0
1191,68.0,7.0
1192,23.0,7.0
1193,31.0,7.0
1194,36.0,3.0
1195,42.0,4.0
1196,30.0,3.0
1197,39.0,3.0
1198,50.0,4.0
1199,78.0,3.0
1200,50.0,3.0
1201,14.0,3.0
1202,39.0,3.0
1203,24.0,6.0
1204,10.0,6.0
1205,21.0,6.0
1206,44.0,3.0
1207,58.0,3.0
1208,36.0,3.0
1209,33.0,7.0
1210,3.0,4.0
1211,33.0,3.0
1212,0.0,4.0
1213,0.0,3.0
1214,25.0,3.0
1215,14.0,5.0
1216,25.0,3.0
1217,0.0,4.0
1218,61.0,3.0
1219,57.0,4.0
1220,14.0,3.0
1221,13.0,4.0
1222,18.0,7.0
1223,22.0,4.0
1224,21.0,7.0
1225,25.0,7.0
1226,0.0,4.0
1227,50.0,4.0
1228,23.0,7.0
1229,22.0,3.0
1230,50.0,4.0
1231,28.0,7.0
1232,46.0,7.0
1233,19.0,7.0
1234,33.0,7.0
1235,0.0,3.0
1236,0.0,4.0
1237,33.0,4.0
1238,38.0,7.0
1239,0.0,7.0
1240,64.0,3.0
1241,8.0,3.0
1242,42.0,7.0
1243,30.0,7.0
1244,10.0,3.0
1245,33.0,3.0
1246,100.0,3.0
1247,15.0,3.0
1248,43.0,3.0
1249,55.0,3.0
1250,25.0,3.0
1251,24.0,6.0
1252,33.0,3.0
1253,27.0,3.0
1254,20.0,3.0
1255,17.0,3.0
1256,50.0,3.0
1257,15.0,7.0
1258,40.0,3.0
1259,13.0,3.0
1260,0.0,5.0
1261,0.0,3.0
1262,6.0,7.0
1263,31.0,3.0
1264,42.0,3.0
1265,45.0,4.0
1266,21.0,5.0
1267,0.0,1.0
1268,0.0,1.0
1269,50.0,4.0
1270,0.0,3.0
1271,32.0,7.0
1272,0.0,3.0
1273,20.0,7.0
1274,38.0,7.0
1275,12.0,7.0
1276,60.0,3.0
1277,33.0,3.0
1278,29.0,5.0
1279,0.0,3.0
1280,40.0,3.0
1281,14.0,3.0
1282,38.0,3.0
1283,20.0,3.0
1284,29.0,3.0
1285,60.0,3.0
1286,67.0,3.0
1287,20.0,3.0
1288,7.0,3.0
1289,0.0,3.0
1290,38.0,3.0
1291,12.0,3.0
1292,40.0,3.0
1293,69.0,3.0
1294,0.0,4.0
1295,15.0,7.0
1296,0.0,4.0
1297,67.0,3.0
1298,43.0,3.0
1299,12.0,7.0
1300,0.0,4.0
1301,7.0,4.0
1302,23.0,7.0
1303,14.0,3.0
1304,12.0,4.0
1305,14.0,6.0
1306,37.0,4.0
1307,50.0,3.0
1308,12.0,4.0
1309,45.0,3.0
1310,32.0,5.0
1311,33.0,3.0
1312,40.0,7.0
1313,15.0,3.0
1314,73.0,3.0
1315,50.0,3.0
1316,0.0,4.0
1317,33.0,4.0
1318,0.0,6.0
1319,0.0,7.0
1320,50.0,3.0
1321,8.0,3.0
1322,15.0,7.0
1323,12.0,7.0
1324,25.0,3.0
1325,22.0,7.0
1326,75.0,4.0
1327,6.0,4.0
1328,14.0,4.0
1329,32.0,4.0
1330,17.0,4.0
1331,7.0,7.0
1332,53.0,7.0
1333,10.0,7.0
1334,0.0,7.0
1335,0.0,4.0
1336,0.0,4.0
1337,25.0,3.0
1338,59.0,3.0
1339,20.0,4.0
1340,57.0,3.0
1341,10.0,3.0
1342,17.0,3.0
1343,50.0,3.0
1344,57.0,3.0
1345,30.0,3.0
1346,20.0,3.0
1347,33.0,3.0
1348,30.0,3.0
1349,31.0,3.0
1350,40.0,4.0
1351,17.0,4.0
1352,0.0,3.0
1353,25.0,6.0
1354,29.0,3.0
1355,30.0,3.0
1356,67.0,3.0
1357,33.0,3.0
